Page URL with Redirect Link,Initial Redirect URL,Final Destination URL,Status code,Discovered
https://thetaxcalc.com/,https://thetaxcalc.com/salary/75000,https://thetaxcalc.com/salary/75000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/,https://thetaxcalc.com/salary/50000,https://thetaxcalc.com/salary/50000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/,https://thetaxcalc.com/salary/100000,https://thetaxcalc.com/salary/100000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/about,https://thetaxcalc.com/salary/100000,https://thetaxcalc.com/salary/100000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/about,https://thetaxcalc.com/salary/50000,https://thetaxcalc.com/salary/50000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/about,https://thetaxcalc.com/salary/75000,https://thetaxcalc.com/salary/75000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog,https://thetaxcalc.com/salary/100000,https://thetaxcalc.com/salary/100000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog,https://thetaxcalc.com/salary/50000,https://thetaxcalc.com/salary/50000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog,https://thetaxcalc.com/salary/75000,https://thetaxcalc.com/salary/75000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/1099-tax-guide-self-employed-2026,https://thetaxcalc.com/salary/75000,https://thetaxcalc.com/salary/75000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/1099-tax-guide-self-employed-2026,https://thetaxcalc.com/salary/50000,https://thetaxcalc.com/salary/50000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/1099-tax-guide-self-employed-2026,https://thetaxcalc.com/salary/100000,https://thetaxcalc.com/salary/100000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/2026-federal-tax-brackets-explained,https://thetaxcalc.com/salary/100000,https://thetaxcalc.com/salary/100000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/2026-federal-tax-brackets-explained,https://thetaxcalc.com/salary/75000,https://thetaxcalc.com/salary/75000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/2026-federal-tax-brackets-explained,https://thetaxcalc.com/salary/50000,https://thetaxcalc.com/salary/50000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/401k-withdrawal-tax-guide-2026,https://thetaxcalc.com/salary/100000,https://thetaxcalc.com/salary/100000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/401k-withdrawal-tax-guide-2026,https://thetaxcalc.com/salary/50000,https://thetaxcalc.com/salary/50000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/401k-withdrawal-tax-guide-2026,https://thetaxcalc.com/salary/75000,https://thetaxcalc.com/salary/75000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/401k-withdrawal-tax-questions-2026,https://thetaxcalc.com/salary/100000,https://thetaxcalc.com/salary/100000-after-taxes,301,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/401k-withdrawal-tax-questions-2026,https://thetaxcalc.com/salary/50000,https://thetaxcalc.com/salary/50000-after-taxes,301,02 Jul 2026 (12:10 UTC)
